,bin_number,start(s),end(s),duration(ms),interval(s),min_freq,max_freq,avg_freq,bandwidth,min_intensity,max_intensity,avg_intensity,bg_intensity,area(pixels),centroid_y,class_top1,class_top2
1,1,2.082647,2.088279,5.632197,0,77439.024390,80365.853659,78886.630533,2926.829268,-94.150926,-63.820146,-75.782939,-88.773442,108,139,short,flat
2,1,2.113368,2.116440,3.072107,0.025088876068584565,72560.975610,75487.804878,74096.126255,2926.829268,-101.274789,-68.192798,-79.729696,-88.789132,68,119,short,up_fm
3,1,2.694509,2.765167,0.070658,0.5780681853353524,71829.268293,92073.170732,83157.828632,20243.902439,-104.500192,-69.800191,-74.248027,-88.644442,1316,151,short,mult_steps
4,1,2.903924,2.933109,29.185019,0.1387568451956427,84268.292683,92317.073171,89282.199401,8048.780488,-106.558319,-56.258140,-69.158266,-88.728882,684,177,up_fm,flat
5,1,3.108731,3.122044,13.312465,0.17562213248009417,79634.146341,91341.463415,86023.599819,11707.317073,-107.846109,-53.365348,-70.781058,-88.806589,432,166,up_fm,step_down
6,1,3.273089,3.299202,0.026113,0.15104527429046,77682.926829,92804.878049,83892.580668,15121.951220,-102.177278,-56.956887,-74.359434,-88.859927,656,165,rev_chevron,up_fm
7,1,3.481480,3.514249,0.032769,0.18227836490645277,45000.000000,99146.341463,68233.894785,54146.341463,-116.006076,-54.277649,-70.232309,-88.686030,1135,111,step_up,two_steps
8,1,3.658638,3.690895,0.032257,0.1443890418641005,46463.414634,97195.121951,70009.755759,50731.707317,-104.269176,-60.332769,-71.103086,-88.714480,895,110,down_fm,step_up
9,1,3.838357,3.896215,0.057858,0.14746114913780506,70609.756098,92804.878049,85600.456985,22195.121951,-112.781275,-68.936295,-72.506852,-88.624701,1496,150,down_fm,rev_chevron
10,1,4.040092,4.069277,29.185019,0.14387702398514968,83292.682927,95487.804878,89440.176685,12195.121951,-104.798833,-53.345096,-68.778604,-88.693086,762,182,down_fm,chevron
11,1,4.204449,4.232610,28.160983,0.13517272004298775,77926.829268,92804.878049,86524.899789,14878.048780,-104.162310,-55.527359,-71.729167,-88.759068,718,165,down_fm,chevron
12,1,4.274084,4.276644,2.560089,0.0414734481950072,68170.731707,70121.951220,69161.274266,1951.219512,-102.205981,-65.087444,-79.470410,-88.757192,49,99,short,down_fm
13,1,4.430761,4.473259,42.497484,0.15411738156416455,71097.560976,95487.804878,81479.073740,24390.243902,-111.804887,-47.457791,-68.686189,-88.594618,1285,157,down_fm,step_down
14,1,4.604335,4.680114,75.778646,0.13107657701138198,65243.902439,92560.975610,76852.356741,27317.073171,-105.153645,-49.978522,-67.933902,-88.400565,1986,139,down_fm,chevron
15,1,4.809142,4.848056,38.913359,0.12902850549557865,79146.341463,92804.878049,86400.555608,13658.536585,-116.368386,-50.929843,-65.585453,-88.677456,1036,168,down_fm,chevron
